prefettura,settimana_anno,tasso_per_punto,data_inizio,data_fine
Hokkaido,42,3.29,2025-10-13,2025-10-19
Hokkaido,43,8.43,2025-10-20,2025-10-26
Hokkaido,44,24.99,2025-10-27,2025-11-02
Hokkaido,45,28.2,2025-11-03,2025-11-09
Hokkaido,46,44.01,2025-11-10,2025-11-16
Aomori,42,0.83,2025-10-13,2025-10-19
Aomori,43,2.19,2025-10-20,2025-10-26
Aomori,44,6.69,2025-10-27,2025-11-02
Aomori,45,12.5,2025-11-03,2025-11-09
Aomori,46,31.5,2025-11-10,2025-11-16
Iwate,42,2.48,2025-10-13,2025-10-19
Iwate,43,6.31,2025-10-20,2025-10-26
Iwate,44,17.67,2025-10-27,2025-11-02
Iwate,45,30.24,2025-11-03,2025-11-09
Iwate,46,55.9,2025-11-10,2025-11-16
Miyagi,42,3.45,2025-10-13,2025-10-19
Miyagi,43,8.35,2025-10-20,2025-10-26
Miyagi,44,28.58,2025-10-27,2025-11-02
Miyagi,45,47.11,2025-11-03,2025-11-09
Miyagi,46,80.02,2025-11-10,2025-11-16
Akita,42,1.2,2025-10-13,2025-10-19
Akita,43,3.92,2025-10-20,2025-10-26
Akita,44,15.4,2025-10-27,2025-11-02
Akita,45,27.68,2025-11-03,2025-11-09
Akita,46,54.6,2025-11-10,2025-11-16
Yamagata,42,0.82,2025-10-13,2025-10-19
Yamagata,43,3.74,2025-10-20,2025-10-26
Yamagata,44,15.31,2025-10-27,2025-11-02
Yamagata,45,26.36,2025-11-03,2025-11-09
Yamagata,46,47.05,2025-11-10,2025-11-16
Fukushima,42,3.17,2025-10-13,2025-10-19
Fukushima,43,6.33,2025-10-20,2025-10-26
Fukushima,44,15.98,2025-10-27,2025-11-02
Fukushima,45,34.63,2025-11-03,2025-11-09
Fukushima,46,58.54,2025-11-10,2025-11-16
Ibaraki,42,2.47,2025-10-13,2025-10-19
Ibaraki,43,5.43,2025-10-20,2025-10-26
Ibaraki,44,14.94,2025-10-27,2025-11-02
Ibaraki,45,22.9,2025-11-03,2025-11-09
Ibaraki,46,43.94,2025-11-10,2025-11-16
Tochigi,42,1.3,2025-10-13,2025-10-19
Tochigi,43,3.79,2025-10-20,2025-10-26
Tochigi,44,13.81,2025-10-27,2025-11-02
Tochigi,45,25.06,2025-11-03,2025-11-09
