prefettura,report_num,data_inizio,data_fine,scuole_chiuse_settimana,scuole_chiuse_cumulative,classi_chiuse_settimana,classi_chiuse_cumulative,anni_chiusi_settimana,anni_chiusi_cumulative,studenti_coinvolti_settimana,studenti_coinvolti_cumulative
Hokkaido,46,2025-11-10,2025-11-16,151,396,19,38,55,133,9041,21973
Aomori,46,2025-11-10,2025-11-16,40,78,3,8,20,39,3768,6391
Iwate,46,2025-11-10,2025-11-16,80,143,5,9,39,68,3486,7713
Miyagi,46,2025-11-10,2025-11-16,104,230,9,19,34,68,8451,18656
Akita,46,2025-11-10,2025-11-16,92,154,14,26,52,82,7985,13361
Yamagata,46,2025-11-10,2025-11-16,78,188,4,15,23,55,3911,11534
Fukushima,46,2025-11-10,2025-11-16,120,253,7,14,38,74,8964,17011
Ibaraki,46,2025-11-10,2025-11-16,179,419,4,8,51,110,12333,26821
Tochigi,46,2025-11-10,2025-11-16,237,445,3,5,36,73,7511,15720
Gunma,46,2025-11-10,2025-11-16,141,259,1,2,44,73,10419,17155
Saitama,46,2025-11-10,2025-11-16,383,891,9,15,60,177,23809,55909
Chiba,46,2025-11-10,2025-11-16,356,1034,5,15,46,134,17641,52708
Tokyo,46,2025-11-10,2025-11-16,518,1696,6,29,117,350,37515,123697
Kanagawa,46,2025-11-10,2025-11-16,159,420,1,1,37,90,13191,32894
Niigata,46,2025-11-10,2025-11-16,73,117,2,3,29,47,2616,4487
Toyama,46,2025-11-10,2025-11-16,34,50,0,0,12,20,1778,3332
Ishikawa,46,2025-11-10,2025-11-16,37,64,1,1,14,20,2094,3587
Fukui,46,2025-11-10,2025-11-16,34,58,1,1,8,15,1800,2839
Yamanashi,46,2025-11-10,2025-11-16,24,42,0,0,9,16,1288,2171
Nagano,46,2025-11-10,2025-11-16,109,183,2,4,30,49,6798,10936
Gifu,46,2025-11-10,2025-11-16,84,140,3,4,21,35,4749,7665
Shizuoka,46,2025-11-10,2025-11-16,91,207,2,7,25,58,5685,12543
Aichi,46,2025-11-10,2025-11-16,209,373,2,3,29,53,12734,22615
Mie,46,2025-11-10,2025-11-16,95,188,0,3,37,78,6203,14287
Shiga,46,2025-11-10,2025-11-16,89,152,0,2,16,23,3969,8150
Kyoto,46,2025-11-10,2025-11-16,63,141,1,3,17,36,3438,7811
Osaka,46,2025-11-10,2025-11-16,394,939,9,21,74,164,26885,61701
Hyogo,46,2025-11-10,2025-11-16,363,838,1,6,48,138,13256,36045
Nara,46,2025-11-10,2025-11-16,56,146,0,1,13,30,2966,7954
Wakayama,46,2025-11-10,2025-11-16,95,178,6,7,23,57,3978,6729
Tottori,46,2025-11-10,2025-11-16,8,12,1,2,4,5,249,430
Shimane,46,2025-11-10,2025-11-16,37,66,0,3,7,14,1207,2417
Okayama,46,2025-11-10,2025-11-16,50,89,0,2,12,25,2009,4704
Hiroshima,46,2025-11-10,2025-11-16,23,52,0,7,6,15,1180,3950
Yamaguchi,46,2025-11-10,2025-11-16,68,137,8,11,11,43,4031,8007
Tokushima,46,2025-11-10,2025-11-16,8,12,0,0,1,3,278,421
Kagawa,46,2025-11-10,2025-11-16,19,35,0,0,5,10,887,1782
Ehime,46,2025-11-10,2025-11-16,20,53,1,4,8,19,2239,4238
Kochi,46,2025-11-10,2025-11-16,11,16,0,0,3,4,354,431
Fukuoka,46,2025-11-10,2025-11-16,57,126,0,0,20,45,3420,7300
Saga,46,2025-11-10,2025-11-16,10,27,0,0,3,7,246,1410
Nagasaki,46,2025-11-10,2025-11-16,35,53,0,2,8,14,1502,2095
Kumamoto,46,2025-11-10,2025-11-16,10,46,0,1,2,7,297,1781
Oita,46,2025-11-10,2025-11-16,38,124,3,3,7,24,1523,4370
Miyazaki,46,2025-11-10,2025-11-16,14,33,0,0,0,1,463,1421
Kagoshima,46,2025-11-10,2025-11-16,8,19,0,1,4,7,241,1597
Okinawa,46,2025-11-10,2025-11-16,19,196,0,5,2,40,1364,11266
Totale Nazionale,46,2025-11-10,2025-11-16,6235,14759,148,370,1361,3182,375204,916743
